"id","학년","이수구분","학수번호_수업번호","교과목명","교강사","학점","시간","강의실","강의평","요일","시작교시","종료교시"
5243,"미정","전공선택","7459687","커리어개발Ⅱ:취.창업진로포트폴리오","이헌준",1,"화(17:00-18:00)","IT.BT관508강의실","",,,
5244,"미정","전공선택","7459688","캡스톤소프트웨어프로젝트2","조동현",1,"시간미지정강좌","비지정()","",,,
5245,"미정","전공선택","7459689","전공멘토링2","김태현",1,"시간미지정강좌","비지정()","",,,
5246,"미정","전공선택","7459690","정보시스템개론","안종창",3,"월(16:00-17:30),월(17:30-19:00)","IT.BT관202강의실","",,,
5247,"미정","전공선택","7459691","정보시스템설계","김은찬",3,"월(16:00-17:30),월(17:30-19:00)","IT.BT관203강의실","",,,
5248,"미정","전공선택","7459692","일반화학및실험2","김완주",3,"수(15:00-17:00),목(13:00-15:00)","제1공학관305강의실,자연과학관일반화학실험실3(121),자연과학관일반화학실험실4(122)","",,,
5249,"미정","전공선택","7459693","테크노경영학(스타트업종합설계)","이재석",3,"수(09:00-10:30)","제1공학관509강의실,","",,,
5250,"미정","전공선택","7459694","테크노경영학(스타트업종합설계)","안광일",3,"목(09:00-10:30)","제1공학관601강의실,","",,,
5251,"미정","전공선택","7459695","커리어개발Ⅱ:취.창업진로포트폴리오","박진섭",1,"화(17:30-18:30)","제2공학관206강의실","",,,
5252,"미정","전공선택","7459696","커리어개발Ⅱ:취.창업진로포트폴리오","유호천",1,"수(17:30-18:30)","제2공학관206강의실","",,,
5253,"미정","전공선택","7459697","안전공학기초및원자력안전법","제무성",3,"월(09:00-10:30),월(10:30-12:00)","제2공학관206강의실","",,,
5254,"미정","전공선택","7459698","암반공학실험및설계","이승원",2,"목(13:00-17:00)","제1공학관506강의실(공학대학원전용)","",,,
5255,"미정","전공선택","7459699","물리탐사실험및설계","설순지",2,"금(13:00-17:00)","제2공학관209강의실","",,,
5256,"미정","전공선택","7459700","이산화탄소지중저장설계","왕지훈",3,"월(14:30-16:00),수(14:30-16:00)","제1공학관403강의실","",,,
5257,"미정","전공선택","7459701","공급사슬경영(SCM)","정인재",3,"수(13:00-15:00),금(13:00-15:00)","제1공학관205강의실","",,,
5258,"미정","전공선택","7459702","경영과학과운영연구2","박철진",3,"목(10:30-12:00),금(09:00-10:30)","제2공학관510강의실(녹화전용)","",,,
5259,"미정","전공선택","7459703","도시설계4","리나",4,"목(13:00-15:00),목(15:00-19:00)","비지정()","",,,
